True;Country_Name;Regional indicator;Ladder score;Standard error of ladder score;upperwhisker;lowerwhisker;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;cost of living index;cost of living plus rent index;Groceries index;restaurant price index;local purchasing power index;time_available_on_site;required visa for french citizen
26;Slovenia;Central and Eastern Europe;6,461;0,043;6,546;6,376;10,529;0,948;71,4;0,949;-0,101;0,806;2,43;1,36;1,093;0,722;0,69;0,122;0,085;2,388;53.88;37.01;47.71;46.74;59.48;Unlimited stay;not required
27;Guatemala;Latin America and Caribbean;6,435;0,073;6,577;6,292;9,053;0,813;64,958;0,906;-0,038;0,775;2,43;0,845;0,79;0,519;0,638;0,163;0,105;3,375;43.49;30.42;41.92;32.59;26.35;90 days;not required
28;Uruguay;Latin America and Caribbean;6,431;0,046;6,521;6,341;9,966;0,925;69,1;0,896;-0,092;0,59;2,43;1,164;1,042;0,649;0,625;0,128;0,223;2,6;52.07;34.19;44.01;49.39;30.07;90 days;not required
29;Singapore;Southeast Asia;6,377;0,043;6,46;6,293;11,488;0,915;76,953;0,927;-0,018;0,082;2,43;1,695;1,019;0,897;0,664;0,176;0,547;1,379;83.98;75.75;77.08;61.17;91.34;90 days;not required
30;Slovakia;Central and Eastern Europe;6,331;0,041;6,411;6,251;10,369;0,936;69,201;0,766;-0,124;0,911;2,43;1,304;1,066;0,653;0,468;0,107;0,018;2,714;44.68;31.29;39.74;36.08;54.70;Unlimited stay;not required
31;Brazil;Latin America and Caribbean;6,33;0,043;6,415;6,245;9,577;0,882;66,601;0,804;-0,071;0,756;2,43;1,028;0,944;0,571;0,514;0,142;0,117;3,015;33.24;21.54;28.16;25.24;27.85;90 days;not required
32;Mexico;Latin America and Caribbean;6,317;0,053;6,42;6,213;9,859;0,831;68,597;0,862;-0,147;0,799;2,43;1,126;0,83;0,634;0,585;0,092;0,089;2,961;35.35;24.66;34.82;32.67;38.62;180 days;not required
33;Jamaica;Latin America and Caribbean;6,309;0,156;6,615;6,004;9,186;0,877;67,5;0,89;-0,137;0,884;2,43;0,891;0,932;0,599;0,618;0,099;0,035;3,135;49.67;33.46;53.41;35.04;30.25;30 days;not required
34;Lithuania;Central and Eastern Europe;6,255;0,045;6,344;6,167;10,499;0,935;67,906;0,773;-0,203;0,826;2,43;1,35;1,065;0,612;0,476;0,056;0,073;2,624;45.65;31.29;36.18;46.64;58.74;Unlimited stay;not required
35;Cyprus;Western Europe;6,223;0,049;6,319;6,128;10,576;0,802;73,898;0,763;-0,015;0,844;2,43;1,377;0,765;0,801;0,464;0,178;0,061;2,578;59.03;41.84;49.20;61.15;57.31;Unlimited stay;not required
36;Estonia;Central and Eastern Europe;6,189;0,038;6,263;6,115;10,481;0,941;68,8;0,909;-0,106;0,527;2,43;1,344;1,079;0,64;0,641;0,119;0,263;2,103;53.68;36.19;42.29;56.43;63.46;Unlimited stay;not required
37;Panama;Latin America and Caribbean;6,18;0,073;6,323;6,036;10,35;0,896;69,652;0,872;-0,166;0,856;2,43;1,298;0,976;0,667;0,596;0,079;0,053;2,509;51.43;37.51;52.16;43.38;33.09;180 days;not required
38;Uzbekistan;Commonwealth of Independent States;6,179;0,068;6,312;6,045;8,836;0,918;65,255;0,97;0,311;0,515;2,43;0,769;1,027;0,528;0,716;0,391;0,271;2,477;27.31;18.86;26.83;24.22;22.37;30 days;not required
39;Chile;Latin America and Caribbean;6,172;0,046;6,262;6,081;10,071;0,882;70,0;0,742;-0,044;0,83;2,43;1,2;0,946;0,678;0,438;0,159;0,07;2,682;43.90;29.66;38.87;43.26;33.27;90 days;not required
40;Poland;Central and Eastern Europe;6,166;0,04;6,245;6,087;10,382;0,898;69,702;0,841;-0,165;0,735;2,43;1,309;0,982;0,668;0,558;0,08;0,13;2,438;38.95;27.46;32.42;33.52;59.95;Unlimited stay;not required
